Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
Br[Cu]	C1C[C@H](NC1)C(=O)O	0.05	CCN(CC)CC	1	OCC	1	60	1.5	6.41	15.60	9	TS
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	CCN(CC)CC	0.5	Cc1ccccc1	0.5	60	1.1	1.21	14.25	9	TS
Cl[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	[Na+].[O-]C(=O)C	1	CC(C)CO	0.5	60	1.1	5.57	31.87	9	TS
Cl[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	CS(=O)C	0.5	60	1.1	9.61	32.29	9	TS
Cl[Cu]	C1CCC(C(C1)N)N	0.05	[Na+].[O-]C(=O)C	2	ACN	1	60	1.1	1.43	7.47	9	TS
[Cu]I	O=n2cccc1cccc(O)c12	0.1	[Na+].[O-]C(=O)C	1	OCC	1	60	1.1	4.97	35.40	9	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	1	80	1.1	34.54	41.14	10	TS
[Cu]O[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CC(C)CO	1	80	1.1	30.55	72.78	10	TS
Cl[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	0.5	80	1.1	39.52	62.41	10	TS
Cl[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	CC(C)CO	0.5	80	1.5	18.42	39.84	10	TS
[Cu]O[Cu]	CCN(CC)C(=O)c1ccccc1O	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	0.5	80	1.1	0.38	1.00	10	TS
Br[Cu]	CN(C)CCO	0.05	CCN(CC)CC	1	OCC	0.5	80	1.1	2.95	32.48	10	TS
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	[K+].[OH-]	1	ACN	1	80	1.5	37.40	78.95	10	TS
[Cu]O[Cu]	OCCO	0.05	[K+].[OH-]	2	ACN	1	80	1.5	2.75	100.00	10	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)C(=O)2CCCc1cccnc12	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	0.5	60	1.5	0	06.01	0	EI
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	1	80	1.1	0	2.52	0	EI
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	CCN(CC)CC	1	OCC	0.5	60	1.1	0	11.24	0	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.5	20.63	74.42	0	EI
Br[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	0.5	Cc1ccccc1	1	60	1.1	0	34.35	0	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	CCN(CC)CC	1	O1C(C)CCC1	1	80	1.1	4.61	16.06	0	EI
Cl[Cu]	OCCO	0.05	[Cs+].[Cs+].[O-]C([O-])=O	1	O1C(C)CCC1	1	60	1.1	0	16.97	0	EI
[Cu]O[Cu]	O=n2cccc1cccc(O)c12	0.1	NaOtBu	2	O1C(C)CCC1	1	60	1.5	0	63.52	0	EI
[Cu]I	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.5	26.60	92.93	1	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	80	1.5	33.96	90.54	1	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.5	27.45	81.37	1	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.1	17.66	65.64	1	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	ACN	1	80	1.5	23.16	44.10	1	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	60	1.5	30.84	72.21	1	EI
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[K+].[OH-]	2	OCC	1	80	1.5	0.00	100.00	1	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.5	34.85	80.37	1	EI
Cl[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	60	1.5	7.34	16.53	2	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CC(C)CO	0.5	60	1.5	34.88	66.89	2	EI
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	60	1.5	34.51	67.21	2	EI
Br[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	1	OCC	0.5	60	1.5	19.41	88.32	2	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.5	45.36	80.93	2	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	80	1.5	30.09	75.47	2	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	0.5	60	1.5	29.43	81.96	2	EI
[Cu]O[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	60	1.5	33.06	90.10	2	EI
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	CCN(CC)CC	0.5	CS(=O)C	1	60	1.1	29.21	39.95	3	EI
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	O1C(C)CCC1	1	60	1.5	31.03	66.33	3	EI
[Cu]O[Cu]	O=n2cccc1cccc(O)c12	0.1	[K+].[OH-]	0.5	OCC	1	60	1.5	5.53	32.74	3	EI
[Cu]O[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	Cc1ccccc1	1	60	1.5	21.86	42.92	3	EI
[Cu]O[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.1	35.92	69.49	3	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	ACN	1	60	1.5	27.06	65.06	3	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.5	42.58	70.40	3	EI
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	NaOtBu	0.5	OCC	1	60	1.5	16.72	67.95	3	EI
[Cu]I	CC(C)C(=O)2CCCc1cccnc12	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.1	22.05	13.63	4	EI
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	60	1.1	22.27	59.65	4	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CS(=O)C	1	80	1.1	29.01	78.60	4	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	60	1.1	22.73	63.54	4	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.5	44.64	82.85	4	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.1	27.59	80.38	4	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	0.5	80	1.5	21.14	68.63	4	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CC(C)CO	1	60	1.5	24.18	24.76	4	EI
Cl[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	NaOtBu	0.5	OCC	1	60	1.5	30.29	42.79	5	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CS(=O)C	1	60	1.5	14.46	31.45	5	EI
Cl[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.5	14.55	33.41	5	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	60	1.5	37.45	61.14	5	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	Cc1ccccc1	1	60	1.5	5.65	35.37	5	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.1	15.56	32.82	5	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	80	1.5	37.90	75.38	5	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	60	1.5	14.22	30.39	5	EI
Br[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	C(=O)([O-])[O-].[K+].[K+]	1	OCC	1	80	1.5	43.98	81.94	6	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	0.5	80	1.5	30.73	69.41	6	EI
Cl[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	80	1.5	62.33	86.46	6	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.5	33.37	63.63	6	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	0.5	OCC	1	80	1.5	25.45	62.88	6	EI
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	80	1.5	26.44	51.21	6	EI
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[K+].[OH-]	0.5	OCC	1	80	1.5	20.07	61.95	6	EI
Cl[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	80	1.5	65.17	96.19	6	EI
Br[Cu]	O=n2cccc1cccc(O)c12	0.05	C(=O)([O-])[O-].[K+].[K+]	0.5	O1C(C)CCC1	1	60	1.1	16.97	58.03	7	EI
